parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
r10469_kd	r10469_kd	log10	0.01	100	1.0783291603272	1
r10470_k0	r10470_k0	log10	0.01	100	0.384173930286142	1
r10471_k0	r10471_k0	log10	0.01	100	2.73288980025402	1
r10472_k0	r10472_k0	log10	0.01	100	1.35512372655645	1
r10473_k0	r10473_k0	log10	0.01	100	0.882939124929938	1
r10474_k0	r10474_k0	log10	0.01	100	1.8752139390141	1
r10475_k0	r10475_k0	log10	0.01	100	0.265404958819332	1
r10476_k0	r10476_k0	log10	0.01	100	0.942099905519101	1
r10477_k0	r10477_k0	log10	0.01	100	0.780475812089537	1
r10478_k0	r10478_k0	log10	0.01	100	0.944959546868115	1
r10479_k0	r10479_k0	log10	0.01	100	0.89939596776511	1
r10482_k0	r10482_k0	log10	0.01	100	0.679727093617816	1
r10483_k0	r10483_k0	log10	0.01	100	1.11348919238167	1
r10484_k0	r10484_k0	log10	0.01	100	0.530502320803669	1
r10485_k0	r10485_k0	log10	0.01	100	1.07824294473591	1
r10486_k0	r10486_k0	log10	0.01	100	1.16128773480832	1
r10487_k0	r10487_k0	log10	0.01	100	1.04075217414199	1
r10488_k0	r10488_k0	log10	0.01	100	1.01815613109869	1
r10489_k0	r10489_k0	log10	0.01	100	0.89777388253909	1
r10491_kE3	r10491_kE3	log10	0.01	100	0.993373951656821	1
r10491_kE2	r10491_kE2	log10	0.01	100	0.956190982889136	1
r10491_kE1	r10491_kE1	log10	0.01	100	0.892764400127564	1
r10496_k0	r10496_k0	log10	0.01	100	0.981065954724866	1
r10497_k0	r10497_k0	log10	0.01	100	0.97412781632531	1
r10498_k0	r10498_k0	log10	0.01	100	0.771666940331462	1
r10499_k0	r10499_k0	log10	0.01	100	0.828025554425693	1
r10499_kd	r10499_kd	log10	0.01	100	1.13544169789527	1
r10500_k0	r10500_k0	log10	0.01	100	1.04633505632221	1
r10500_kd	r10500_kd	log10	0.01	100	1.00239652174391	1
r10501_k0	r10501_k0	log10	0.01	100	1.0771701171499	1
r10501_kd	r10501_kd	log10	0.01	100	0.953115195057697	1
r10502_k0	r10502_k0	log10	0.01	100	0.975913980575319	1
r10502_kd	r10502_kd	log10	0.01	100	1.02412167376938	1
r10503_k0	r10503_k0	log10	0.01	100	0.97659584517178	1
r10503_kd	r10503_kd	log10	0.01	100	1.02364597625795	1
r10504_k0	r10504_k0	log10	0.01	100	0.704436775242698	1
r10504_kd	r10504_kd	log10	0.01	100	1.29439145963597	1
r10505_k0	r10505_k0	log10	0.01	100	3.29727706322374	1
r10505_kd	r10505_kd	log10	0.01	100	0.621973981372401	1
r10506_k0	r10506_k0	log10	0.01	100	0.986176014649584	1
r10506_kd	r10506_kd	log10	0.01	100	0.999065517994958	1
r10507_k0	r10507_k0	log10	0.01	100	0.946811698867449	1
r10507_kd	r10507_kd	log10	0.01	100	1.07218531265968	1
r10508_k0	r10508_k0	log10	0.01	100	1.27062953827392	1
r10508_kd	r10508_kd	log10	0.01	100	0.898227258637004	1
r10509_k0	r10509_k0	log10	0.01	100	3.26300856296026	1
r10509_kd	r10509_kd	log10	0.01	100	0.610321399560136	1
r10510_k0	r10510_k0	log10	0.01	100	1.06410948987063	1
r10511_k0	r10511_k0	log10	0.01	100	0.626450070303294	1
r10512_k0	r10512_k0	log10	0.01	100	1.04770032225691	1
r10513_k0	r10513_k0	log10	0.01	100	1.00397165614106	1
r10514_k0	r10514_k0	log10	0.01	100	1.18142458973241	1
r10515_k0	r10515_k0	log10	0.01	100	1.49406519565196	1
r10516_k0	r10516_k0	log10	0.01	100	1.0430920328279	1
r10517_k0	r10517_k0	log10	0.01	100	0.994881111865839	1
r10518_k0	r10518_k0	log10	0.01	100	1.02364232572376	1
r10519_k0	r10519_k0	log10	0.01	100	1.31387057831415	1
r10522_k0	r10522_k0	log10	0.01	100	1.13842409616066	1
r10523_k0	r10523_k0	log10	0.01	100	1.00748154374325	1
r10524_k0	r10524_k0	log10	0.01	100	0.856229542552354	1
r10525_k0	r10525_k0	log10	0.01	100	0.949179869923808	1
r10526_k0	r10526_k0	log10	0.01	100	1.00903708847053	1
r10527_k0	r10527_k0	log10	0.01	100	0.991624205511749	1
r10528_k0	r10528_k0	log10	0.01	100	0.806142638215827	1
r10529_k0	r10529_k0	log10	0.01	100	0.983308348256402	1
r10531_kE3	r10531_kE3	log10	0.01	100	1.1109078459268	1
r10531_kE2	r10531_kE2	log10	0.01	100	0.997159293132507	1
r10531_kE1	r10531_kE1	log10	0.01	100	0.99827289908648	1
r10536_k0	r10536_k0	log10	0.01	100	1.00530754485872	1
r10537_k0	r10537_k0	log10	0.01	100	1.0303993831924	1
r10538_k0	r10538_k0	log10	0.01	100	0.797405304900501	1
r10539_k0	r10539_k0	log10	0.01	100	1.0097929197105	1
r10539_kd	r10539_kd	log10	0.01	100	0.988355871278031	1
r10540_k0	r10540_k0	log10	0.01	100	1.00031390382568	1
r10540_kd	r10540_kd	log10	0.01	100	1.00091364742658	1
r10541_k0	r10541_k0	log10	0.01	100	0.998134833249271	1
r10541_kd	r10541_kd	log10	0.01	100	1.01167918922053	1
r10542_k0	r10542_k0	log10	0.01	100	0.996720697597866	1
r10542_kd	r10542_kd	log10	0.01	100	1.01362775661732	1
r10543_k0	r10543_k0	log10	0.01	100	1.05352459769775	1
r10543_kd	r10543_kd	log10	0.01	100	0.975804665166107	1
r10544_k0	r10544_k0	log10	0.01	100	0.756690769370627	1
r10544_kd	r10544_kd	log10	0.01	100	1.25436715130172	1
r10545_k0	r10545_k0	log10	0.01	100	0.469710424946827	1
r10545_kd	r10545_kd	log10	0.01	100	1.8052029103804	1
r10546_k0	r10546_k0	log10	0.01	100	0.988062045955939	1
r10546_kd	r10546_kd	log10	0.01	100	1.00909252185797	1
r10547_k0	r10547_k0	log10	0.01	100	0.979102569887959	1
r10547_kd	r10547_kd	log10	0.01	100	1.00830726984368	1
r10548_k0	r10548_k0	log10	0.01	100	0.937760247516231	1
r10548_kd	r10548_kd	log10	0.01	100	1.03149808204087	1
r10549_k0	r10549_k0	log10	0.01	100	1.24466910339883	1
r10549_kd	r10549_kd	log10	0.01	100	0.875008312597931	1
r1055_k0	r1055_k0	log10	0.01	100	0.634240433128684	1
r10550_k0	r10550_k0	log10	0.01	100	1.12809572669603	1
r10551_k0	r10551_k0	log10	0.01	100	1.00657372337683	1
r10552_k0	r10552_k0	log10	0.01	100	0.982610412456892	1
r10553_k0	r10553_k0	log10	0.01	100	1.00409759453612	1
r10554_k0	r10554_k0	log10	0.01	100	1.08400081734852	1
r10555_k0	r10555_k0	log10	0.01	100	0.969297807672443	1
r10556_k0	r10556_k0	log10	0.01	100	0.999748350361094	1
r10557_k0	r10557_k0	log10	0.01	100	1.00872418724525	1
r10558_k0	r10558_k0	log10	0.01	100	1.01322494102644	1
r10559_k0	r10559_k0	log10	0.01	100	1.06525122657725	1
r10562_k0	r10562_k0	log10	0.01	100	1.1097272288596	1
r10563_k0	r10563_k0	log10	0.01	100	0.988678368268364	1
r10564_k0	r10564_k0	log10	0.01	100	0.90623306254906	1
r10565_k0	r10565_k0	log10	0.01	100	0.980797130567895	1
r10566_k0	r10566_k0	log10	0.01	100	0.981278834457881	1
r10567_k0	r10567_k0	log10	0.01	100	0.992821441709845	1
r10568_k0	r10568_k0	log10	0.01	100	0.930367146866934	1
r10569_k0	r10569_k0	log10	0.01	100	1.00349626112419	1
r10571_kE3	r10571_kE3	log10	0.01	100	0.987213641218193	1
r10571_kE2	r10571_kE2	log10	0.01	100	1.00579475591215	1
r10571_kE1	r10571_kE1	log10	0.01	100	1.00084071224754	1
r10576_k0	r10576_k0	log10	0.01	100	1.03360938877934	1
r10577_k0	r10577_k0	log10	0.01	100	0.913617016440628	1
r10578_k0	r10578_k0	log10	0.01	100	0.801592028168158	1
r10579_k0	r10579_k0	log10	0.01	100	0.938548625467661	1
r10579_kd	r10579_kd	log10	0.01	100	1.0289690241081	1
r10580_k0	r10580_k0	log10	0.01	100	0.874299989807638	1
r10580_kd	r10580_kd	log10	0.01	100	0.9968651163966	1
r10581_k0	r10581_k0	log10	0.01	100	1.0755234925815	1
r10581_kd	r10581_kd	log10	0.01	100	0.966898004624389	1
r10582_k0	r10582_k0	log10	0.01	100	1.05259265452193	1
r10582_kd	r10582_kd	log10	0.01	100	0.963462891597973	1
r10583_k0	r10583_k0	log10	0.01	100	0.878939928468942	1
r10583_kd	r10583_kd	log10	0.01	100	1.08412870452556	1
r10584_k0	r10584_k0	log10	0.01	100	0.725812812207538	1
r10584_kd	r10584_kd	log10	0.01	100	1.25489565148571	1
r10585_k0	r10585_k0	log10	0.01	100	1.05575508324435	1
r10585_kd	r10585_kd	log10	0.01	100	0.922499017539351	1
r10586_k0	r10586_k0	log10	0.01	100	0.998651343912013	1
r10586_kd	r10586_kd	log10	0.01	100	1.0289352720615	1
r10587_k0	r10587_k0	log10	0.01	100	1.14671913933981	1
r10587_kd	r10587_kd	log10	0.01	100	1.00227684408787	1
r10588_k0	r10588_k0	log10	0.01	100	0.879079611387136	1
r10588_kd	r10588_kd	log10	0.01	100	1.00906278854638	1
r10589_k0	r10589_k0	log10	0.01	100	0.714472480307172	1
r10589_kd	r10589_kd	log10	0.01	100	1.26635991404159	1
r10590_k0	r10590_k0	log10	0.01	100	1.14315199304726	1
r10591_k0	r10591_k0	log10	0.01	100	1.35401111490527	1
r10592_k0	r10592_k0	log10	0.01	100	1.02816278469576	1
r10593_k0	r10593_k0	log10	0.01	100	1.00829749675855	1
r10594_k0	r10594_k0	log10	0.01	100	0.766315605989314	1
r10595_k0	r10595_k0	log10	0.01	100	0.79639372163171	1
r10596_k0	r10596_k0	log10	0.01	100	1.01916463962575	1
r10597_k0	r10597_k0	log10	0.01	100	0.944604367308778	1
r10598_k0	r10598_k0	log10	0.01	100	0.975054468891385	1
r10599_k0	r10599_k0	log10	0.01	100	0.863473961713179	1
r10602_k0	r10602_k0	log10	0.01	100	1.11902201082664	1
r10603_k0	r10603_k0	log10	0.01	100	0.987171023180938	1
r10604_k0	r10604_k0	log10	0.01	100	1.29523057830013	1
r10605_k0	r10605_k0	log10	0.01	100	0.998369606504811	1
r10606_k0	r10606_k0	log10	0.01	100	1.06175159647319	1
r10607_k0	r10607_k0	log10	0.01	100	1.03122824574645	1
r10608_k0	r10608_k0	log10	0.01	100	1.13167590530843	1
r10609_k0	r10609_k0	log10	0.01	100	1.01139643971311	1
r10611_kE3	r10611_kE3	log10	0.01	100	0.990664836398141	1
r10611_kE2	r10611_kE2	log10	0.01	100	1.01528219506359	1
r10611_kE1	r10611_kE1	log10	0.01	100	1.00504659344788	1
r10623_k0	r10623_k0	log10	0.01	100	1.04938204390879	1
r10623_kE1	r10623_kE1	log10	0.01	100	1.11137827309721	1
r10624_k0	r10624_k0	log10	0.01	100	1.04186500223075	1
r10624_kE1	r10624_kE1	log10	0.01	100	1.16163445911292	1
r10625_k0	r10625_k0	log10	0.01	100	0.318446819180812	1
r10625_kE1	r10625_kE1	log10	0.01	100	0.23588447360568	1
r10627_k0	r10627_k0	log10	0.01	100	0.942527741840834	1
r10627_kE1	r10627_kE1	log10	0.01	100	0.758716288121127	1
r10628_k0	r10628_k0	log10	0.01	100	0.90155632232361	1
r10628_kE1	r10628_kE1	log10	0.01	100	0.85268287009592	1
r10640_kE3	r10640_kE3	log10	0.01	100	1.33420134722935	1
r10640_kE2	r10640_kE2	log10	0.01	100	1.00838339075455	1
r10640_kE1	r10640_kE1	log10	0.01	100	0.966007144802465	1
r10641_kE3	r10641_kE3	log10	0.01	100	1.01204597558177	1
r10641_kE2	r10641_kE2	log10	0.01	100	1.17326928392311	1
r10641_kE1	r10641_kE1	log10	0.01	100	1.0172654503565	1
r10642_kE3	r10642_kE3	log10	0.01	100	1.28535045032676	1
r10642_kE2	r10642_kE2	log10	0.01	100	5.45032376666153	1
r10642_kE1	r10642_kE1	log10	0.01	100	0.994656281330195	1
r10643_kE3	r10643_kE3	log10	0.01	100	1.00754769963322	1
r10643_kE2	r10643_kE2	log10	0.01	100	2.21478297439188	1
r10643_kE1	r10643_kE1	log10	0.01	100	0.296668265419109	1
r10644_kE3	r10644_kE3	log10	0.01	100	1.02016513135512	1
r10644_kE2	r10644_kE2	log10	0.01	100	1.44124302114964	1
r10644_kE1	r10644_kE1	log10	0.01	100	0.994344710710704	1
r10645_kE3	r10645_kE3	log10	0.01	100	0.963295436688794	1
r10645_kE2	r10645_kE2	log10	0.01	100	0.973107251058397	1
r10645_kE1	r10645_kE1	log10	0.01	100	0.311825768377701	1
r10648_k0	r10648_k0	log10	0.01	100	1.24459937051385	1
r10649_k0	r10649_k0	log10	0.01	100	1.06106760894445	1
r10650_k0	r10650_k0	log10	0.01	100	1.64432362444993	1
r10651_k0	r10651_k0	log10	0.01	100	1.07643096682805	1
r10652_k0	r10652_k0	log10	0.01	100	1.25217274630516	1
r10653_k0	r10653_k0	log10	0.01	100	1.85697431994524	1
r10654_k0	r10654_k0	log10	0.01	100	0.96826621246574	1
r10655_k0	r10655_k0	log10	0.01	100	3.28682193432251	1
r10656_k0	r10656_k0	log10	0.01	100	1.14734869728471	1
r10657_k0	r10657_k0	log10	0.01	100	0.976510624186817	1
r10658_k0	r10658_k0	log10	0.01	100	1.03514843456235	1
r10659_k0	r10659_k0	log10	0.01	100	0.552351533759444	1
r10660_k0	r10660_k0	log10	0.01	100	1.81343555883152	1
r10662_k0	r10662_k0	log10	0.01	100	0.782564159367225	1
r10664_k0	r10664_k0	log10	0.01	100	1.65201253772153	1
r10665_k0	r10665_k0	log10	0.01	100	1.11639222528606	1
r10666_k0	r10666_k0	log10	0.01	100	0.790098221560507	1
r10667_k0	r10667_k0	log10	0.01	100	0.991606253037268	1
r10668_k0	r10668_k0	log10	0.01	100	1.05322645566932	1
r10669_k0	r10669_k0	log10	0.01	100	0.863077446206106	1
r10670_k0	r10670_k0	log10	0.01	100	2.01000345973461	1
r10671_k0	r10671_k0	log10	0.01	100	0.937324611366231	1
r10672_k0	r10672_k0	log10	0.01	100	0.917138101935864	1
r10973_k_GeneSpecificScaling	r10973_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r10974_k0	r10974_k0	log10	0.01	100	2.16838117728396	1
r10975_k0	r10975_k0	log10	0.01	100	0.4291216095352	1
r10975_kd	r10975_kd	log10	0.01	100	2.29916480010704	1
r10976_k0	r10976_k0	log10	0.01	100	0.335774877367414	1
r10976_kd	r10976_kd	log10	0.01	100	1.76048132757962	1
r10977_kE1	r10977_kE1	log10	0.01	100	0.984701344056962	1
r10977_kd	r10977_kd	log10	0.01	100	0.986743596959287	1
r10978_k0	r10978_k0	log10	0.01	100	2.22492520199596	1
r10979_k0	r10979_k0	log10	0.01	100	0.563730415172297	1
r10980_k0	r10980_k0	log10	0.01	100	1.82011086708234	1
r10982_kE1	r10982_kE1	log10	0.01	100	0.995999194765699	1
r10982_kd	r10982_kd	log10	0.01	100	0.996894419676449	1
r10983_kE1	r10983_kE1	log10	0.01	100	0.988613812383803	1
r10983_kd	r10983_kd	log10	0.01	100	1.00993260099609	1
r10984_kE1	r10984_kE1	log10	0.01	100	0.611675262505774	1
r10984_kd	r10984_kd	log10	0.01	100	1.07397349271369	1
r10985_k0	r10985_k0	log10	0.01	100	0.445122138695084	1
r10985_kd	r10985_kd	log10	0.01	100	1.29287610715943	1
r10986_k_GeneSpecificScaling	r10986_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r10987_k0	r10987_k0	log10	0.01	100	0.992317604954897	1
r10988_k_GeneSpecificScaling	r10988_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r10989_k0	r10989_k0	log10	0.01	100	1.00065460278146	1
r10990_k_GeneSpecificScaling	r10990_k_GeneSpecificScaling	log10	0.01	100	1.0	0
r10991_k0	r10991_k0	log10	0.01	100	0.996795154572284	1
r10992_k0	r10992_k0	log10	0.01	100	1.21183321016447	1
r10992_kd	r10992_kd	log10	0.01	100	1.05828424103605	1
r10993_k0	r10993_k0	log10	0.01	100	1.72892976851457	1
r10993_kd	r10993_kd	log10	0.01	100	0.751616578376546	1
r10994_kE1	r10994_kE1	log10	0.01	100	1.00790408387241	1
r10994_kd	r10994_kd	log10	0.01	100	1.01003918826451	1
r10995_kE1	r10995_kE1	log10	0.01	100	0.99329021426573	1
r10995_kd	r10995_kd	log10	0.01	100	1.00321193815723	1
r10996_kE1	r10996_kE1	log10	0.01	100	1.01232512984008	1
r10996_kd	r10996_kd	log10	0.01	100	0.995771930960922	1
r10997_kE1	r10997_kE1	log10	0.01	100	0.496185623186232	1
r10997_kd	r10997_kd	log10	0.01	100	1.07397349273348	1
r10998_k0	r10998_k0	log10	0.01	100	1.1852774812725	1
r10999_k0	r10999_k0	log10	0.01	100	1.33337477488365	1
r11000_k0	r11000_k0	log10	0.01	100	0.887048766563153	1
r11002_k0	r11002_k0	log10	0.01	100	1.06614849096081	1
r11002_kd	r11002_kd	log10	0.01	100	0.999684869719794	1
r11003_k0	r11003_k0	log10	0.01	100	1.00195258442771	1
r11003_kd	r11003_kd	log10	0.01	100	1.00804244250738	1
r11004_k0	r11004_k0	log10	0.01	100	1.00442212146439	1
r11004_kd	r11004_kd	log10	0.01	100	1.00672739595134	1
r11005_kE1	r11005_kE1	log10	0.01	100	1.0055733983452	1
r11005_kd	r11005_kd	log10	0.01	100	0.990684707480782	1
r11006_kE1	r11006_kE1	log10	0.01	100	0.999345825443029	1
r11006_kd	r11006_kd	log10	0.01	100	1.00818108361096	1
r11007_kE1	r11007_kE1	log10	0.01	100	0.994457492258276	1
r11007_kd	r11007_kd	log10	0.01	100	0.995771930960968	1
r11008_kE1	r11008_kE1	log10	0.01	100	0.987147861701924	1
r11008_kd	r11008_kd	log10	0.01	100	1.04378209642322	1
r11009_k0	r11009_k0	log10	0.01	100	0.995597347599287	1
r11010_k0	r11010_k0	log10	0.01	100	0.987147861701924	1
r11011_k0	r11011_k0	log10	0.01	100	1.0055733983452	1
r11013_k0	r11013_k0	log10	0.01	100	1.01301946627926	1
r11013_kd	r11013_kd	log10	0.01	100	0.995597347599287	1
r11014_k0	r11014_k0	log10	0.01	100	1.00195258442771	1
r11014_kd	r11014_kd	log10	0.01	100	1.00321514948484	1
r11015_k0	r11015_k0	log10	0.01	100	0.994457492258276	1
r11015_kd	r11015_kd	log10	0.01	100	0.996795154572284	1
r11016_kE1	r11016_kE1	log10	0.01	100	0.987147861701924	1
r11016_kd	r11016_kd	log10	0.01	100	0.995696821053782	1
r11017_kE1	r11017_kE1	log10	0.01	100	1.00195258442771	1
