experimentId	observableId	measurement	time	noiseParameters	datasetId
experiment____cond1	observable_Cumulative	91	16	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	98	17	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	109	18	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	109	19	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	120	20	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	120	21	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	130	22	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	145	23	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	158	24	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	163	25	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	174	26	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	176	27	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	189	28	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	214	29	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	232	30	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	251	31	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	283	32	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	306	33	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	376	34	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	376	35	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	430	36	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	504	37	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	582	38	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	662	39	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	689	40	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	731	41	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	764	42	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	844	43	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	931	44	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	976	45	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	1006	46	sd_Cumulative	id1
experiment____cond1	observable_Cumulative	1068	47	sd_Cumulative	id1
