observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
cumulative_cases	interior	18	15	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	15	sd_cumulative_deaths	dataset_
cumulative_cases	interior	22	16	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	16	sd_cumulative_deaths	dataset_
cumulative_cases	interior	26	17	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	17	sd_cumulative_deaths	dataset_
cumulative_cases	interior	34	18	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	18	sd_cumulative_deaths	dataset_
cumulative_cases	interior	37	19	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	19	sd_cumulative_deaths	dataset_
cumulative_cases	interior	45	20	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	20	sd_cumulative_deaths	dataset_
cumulative_cases	interior	45	21	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	21	sd_cumulative_deaths	dataset_
cumulative_cases	interior	46	22	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	22	sd_cumulative_deaths	dataset_
cumulative_cases	interior	53	23	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	23	sd_cumulative_deaths	dataset_
cumulative_cases	interior	59	24	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	24	sd_cumulative_deaths	dataset_
cumulative_cases	interior	85	25	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	25	sd_cumulative_deaths	dataset_
cumulative_cases	interior	93	26	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	26	sd_cumulative_deaths	dataset_
cumulative_cases	interior	100	27	sd_cumulative_cases	dataset_
cumulative_deaths	interior	0	27	sd_cumulative_deaths	dataset_
cumulative_cases	interior	106	28	sd_cumulative_cases	dataset_
cumulative_deaths	interior	1	28	sd_cumulative_deaths	dataset_
cumulative_cases	interior	121	29	sd_cumulative_cases	dataset_
cumulative_deaths	interior	2	29	sd_cumulative_deaths	dataset_
cumulative_cases	interior	157	30	sd_cumulative_cases	dataset_
cumulative_deaths	interior	2	30	sd_cumulative_deaths	dataset_
cumulative_cases	interior	174	31	sd_cumulative_cases	dataset_
cumulative_deaths	interior	2	31	sd_cumulative_deaths	dataset_
cumulative_cases	interior	193	32	sd_cumulative_cases	dataset_
cumulative_deaths	interior	4	32	sd_cumulative_deaths	dataset_
cumulative_cases	interior	223	33	sd_cumulative_cases	dataset_
cumulative_deaths	interior	7	33	sd_cumulative_deaths	dataset_
cumulative_cases	interior	254	34	sd_cumulative_cases	dataset_
cumulative_deaths	interior	8	34	sd_cumulative_deaths	dataset_
cumulative_cases	interior	273	35	sd_cumulative_cases	dataset_
cumulative_deaths	interior	8	35	sd_cumulative_deaths	dataset_
cumulative_cases	interior	285	36	sd_cumulative_cases	dataset_
cumulative_deaths	interior	10	36	sd_cumulative_deaths	dataset_
cumulative_cases	interior	310	37	sd_cumulative_cases	dataset_
cumulative_deaths	interior	10	37	sd_cumulative_deaths	dataset_
cumulative_cases	interior	333	38	sd_cumulative_cases	dataset_
cumulative_deaths	interior	11	38	sd_cumulative_deaths	dataset_
cumulative_cases	interior	348	39	sd_cumulative_cases	dataset_
cumulative_deaths	interior	13	39	sd_cumulative_deaths	dataset_
cumulative_cases	interior	362	40	sd_cumulative_cases	dataset_
cumulative_deaths	interior	13	40	sd_cumulative_deaths	dataset_
cumulative_cases	interior	395	41	sd_cumulative_cases	dataset_
cumulative_deaths	interior	16	41	sd_cumulative_deaths	dataset_
cumulative_cases	interior	421	42	sd_cumulative_cases	dataset_
cumulative_deaths	interior	18	42	sd_cumulative_deaths	dataset_
cumulative_cases	interior	440	43	sd_cumulative_cases	dataset_
cumulative_deaths	interior	21	43	sd_cumulative_deaths	dataset_
cumulative_cases	interior	485	44	sd_cumulative_cases	dataset_
cumulative_deaths	interior	23	44	sd_cumulative_deaths	dataset_
cumulative_cases	interior	553	45	sd_cumulative_cases	dataset_
cumulative_deaths	interior	24	45	sd_cumulative_deaths	dataset_
cumulative_cases	interior	577	46	sd_cumulative_cases	dataset_
cumulative_deaths	interior	25	46	sd_cumulative_deaths	dataset_
cumulative_cases	interior	606	47	sd_cumulative_cases	dataset_
cumulative_deaths	interior	26	47	sd_cumulative_deaths	dataset_
cumulative_cases	interior	708	48	sd_cumulative_cases	dataset_
cumulative_deaths	interior	28	48	sd_cumulative_deaths	dataset_
cumulative_cases	interior	756	49	sd_cumulative_cases	dataset_
cumulative_deaths	interior	30	49	sd_cumulative_deaths	dataset_
cumulative_cases	interior	808	50	sd_cumulative_cases	dataset_
cumulative_deaths	interior	34	50	sd_cumulative_deaths	dataset_
cumulative_cases	interior	886	51	sd_cumulative_cases	dataset_
cumulative_deaths	interior	35	51	sd_cumulative_deaths	dataset_
cumulative_cases	interior	921	52	sd_cumulative_cases	dataset_
cumulative_deaths	interior	35	52	sd_cumulative_deaths	dataset_
cumulative_cases	interior	981	53	sd_cumulative_cases	dataset_
cumulative_deaths	interior	37	53	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1031	54	sd_cumulative_cases	dataset_
cumulative_deaths	interior	38	54	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1077	55	sd_cumulative_cases	dataset_
cumulative_deaths	interior	39	55	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1139	56	sd_cumulative_cases	dataset_
cumulative_deaths	interior	41	56	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1209	57	sd_cumulative_cases	dataset_
cumulative_deaths	interior	45	57	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1313	58	sd_cumulative_cases	dataset_
cumulative_deaths	interior	48	58	sd_cumulative_deaths	dataset_
cumulative_cases	interior	1357	59	sd_cumulative_cases	dataset_
cumulative_deaths	interior	50	59	sd_cumulative_deaths	dataset_
