observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	datasetId
ERK_PP		model1_data2	31.7682524046738	2400	ERK_t	4	model1_data2_ERK_PP
ERK_PP		model1_data2	28.6759620505581	2700	ERK_t	4.3	model1_data2_ERK_PP
ERK_PP		model1_data2	21.2022643602703	3600	ERK_t	2.7	model1_data2_ERK_PP
ERK_PP		model1_data2	17.8628027432288	4500	ERK_t	1.2	model1_data2_ERK_PP
ERK_PP		model1_data2	16.5580541395666	5400	ERK_t	0.94	model1_data2_ERK_PP
ERK_PP		model1_data2	15.8181136826053	9000	ERK_t	2.3	model1_data2_ERK_PP
AKT_PP		model1_data2	5.08139567615343E-76	1800	AKT_t	0.1	model1_data2_AKT_PP
AKT_PP		model1_data2	56.035388130668	1950	AKT_t	4.7	model1_data2_AKT_PP
AKT_PP		model1_data2	69.4880500801865	2100	AKT_t	3.2	model1_data2_AKT_PP
AKT_PP		model1_data2	73.4248062028344	2250	AKT_t	4.6	model1_data2_AKT_PP
AKT_PP		model1_data2	74.2439422655282	2400	AKT_t	3.2	model1_data2_AKT_PP
AKT_PP		model1_data2	73.7648085482688	2700	AKT_t	2.9	model1_data2_AKT_PP
AKT_PP		model1_data2	69.4182443713225	3600	AKT_t	2.8	model1_data2_AKT_PP
AKT_PP		model1_data2	64.8617703174951	4500	AKT_t	2.6	model1_data2_AKT_PP
AKT_PP		model1_data2	61.2321756306954	5400	AKT_t	1.8	model1_data2_AKT_PP
AKT_PP		model1_data2	52.0027923944557	9000	AKT_t	2.3	model1_data2_AKT_PP
ERB_B1_P_tot		model1_data3	1.76775554783494E-15	1800	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.036418682306522	1950	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.038141189649734	2100	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.037788264080809	2250	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.037891012706382	2400	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.038998169813646	2700	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.04291752099434	3600	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.045741898484001	4500	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.047697723787962	5400	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERB_B1_P_tot		model1_data3	0.051140032777417	9000	EGFR_t	0.1	model1_data3_ERB_B1_P_tot
ERK_PP		model1_data3	4.05689429468581E-22	1800	ERK_t	0.1	model1_data3_ERK_PP
ERK_PP		model1_data3	19.1283412548992	1950	ERK_t	3.4	model1_data3_ERK_PP
ERK_PP		model1_data3	29.0262991158362	2100	ERK_t	6.8	model1_data3_ERK_PP
ERK_PP		model1_data3	29.3496850233104	2250	ERK_t	1.9	model1_data3_ERK_PP
ERK_PP		model1_data3	28.3669494838099	2400	ERK_t	4	model1_data3_ERK_PP
ERK_PP		model1_data3	25.2944505933136	2700	ERK_t	4.3	model1_data3_ERK_PP
ERK_PP		model1_data3	18.3269400330114	3600	ERK_t	2.7	model1_data3_ERK_PP
ERK_PP		model1_data3	15.5414077429536	4500	ERK_t	1.2	model1_data3_ERK_PP
ERK_PP		model1_data3	14.5840346873173	5400	ERK_t	0.94	model1_data3_ERK_PP
ERK_PP		model1_data3	14.1306270404719	9000	ERK_t	2.3	model1_data3_ERK_PP
AKT_PP		model1_data3	8.49071717018033E-63	1800	AKT_t	0.1	model1_data3_AKT_PP
AKT_PP		model1_data3	0.001239915893444	1950	AKT_t	0.98	model1_data3_AKT_PP
AKT_PP		model1_data3	33.7142067464579	2100	AKT_t	11.1	model1_data3_AKT_PP
AKT_PP		model1_data3	43.9127707791346	2250	AKT_t	5.6	model1_data3_AKT_PP
AKT_PP		model1_data3	46.3374858930585	2400	AKT_t	3.1	model1_data3_AKT_PP
AKT_PP		model1_data3	48.2386429805479	2700	AKT_t	4.5	model1_data3_AKT_PP
AKT_PP		model1_data3	49.1448803968136	3600	AKT_t	5.1	model1_data3_AKT_PP
AKT_PP		model1_data3	49.1112264321989	4500	AKT_t	14.1	model1_data3_AKT_PP
AKT_PP		model1_data3	48.9883910876766	5400	AKT_t	9.7	model1_data3_AKT_PP
AKT_PP		model1_data3	48.435645908212	9000	AKT_t	5.6	model1_data3_AKT_PP
ERB_B1_P_tot		model1_data4	6.7277291085564E-19	1800	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	2.92689710183634E-05	1950	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.28578777243557E-05	2100	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.10986842926543E-05	2250	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.02366245604384E-05	2400	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.00182582173071E-05	2700	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.08359536201293E-05	3600	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.20124467350121E-05	4500	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	3.34324595680437E-05	5400	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERB_B1_P_tot		model1_data4	4.00121953425809E-05	9000	EGFR_t	0.1	model1_data4_ERB_B1_P_tot
ERK_PP		model1_data4	8.64657840082615E-161	1800	ERK_t	0.1	model1_data4_ERK_PP
ERK_PP		model1_data4	11.8508078706432	1950	ERK_t	4.3	model1_data4_ERK_PP
ERK_PP		model1_data4	24.0162664665207	2100	ERK_t	1.1	model1_data4_ERK_PP
ERK_PP		model1_data4	22.909537519056	2250	ERK_t	8.2	model1_data4_ERK_PP
ERK_PP		model1_data4	21.5370745078285	2400	ERK_t	4.7	model1_data4_ERK_PP
ERK_PP		model1_data4	18.5449419468594	2700	ERK_t	1.5	model1_data4_ERK_PP
ERK_PP		model1_data4	13.1420907480741	3600	ERK_t	1.04	model1_data4_ERK_PP
ERK_PP		model1_data4	11.6246110790524	4500	ERK_t	1.7	model1_data4_ERK_PP
ERK_PP		model1_data4	11.2663102442266	5400	ERK_t	3	model1_data4_ERK_PP
ERK_PP		model1_data4	11.1857483428179	9000	ERK_t	2.2	model1_data4_ERK_PP
AKT_PP		model1_data4	2.07871827222141E-79	1800	AKT_t	0.1	model1_data4_AKT_PP
AKT_PP		model1_data4	17.7717537002553	1950	AKT_t	0.1	model1_data4_AKT_PP
AKT_PP		model1_data4	49.7843830516816	2100	AKT_t	4.6	model1_data4_AKT_PP
AKT_PP		model1_data4	54.3919048297901	2250	AKT_t	7.7	model1_data4_AKT_PP
AKT_PP		model1_data4	57.4195216254196	2400	AKT_t	3.6	model1_data4_AKT_PP
AKT_PP		model1_data4	61.3070244609459	2700	AKT_t	3.6	model1_data4_AKT_PP
AKT_PP		model1_data4	66.701230177369	3600	AKT_t	1.6	model1_data4_AKT_PP
AKT_PP		model1_data4	68.5874591917684	4500	AKT_t	13.1	model1_data4_AKT_PP
AKT_PP		model1_data4	69.0198350686646	5400	AKT_t	13.1	model1_data4_AKT_PP
AKT_PP		model1_data4	65.4734800728311	9000	AKT_t	12.1	model1_data4_AKT_PP
