observableId	simulationConditionId	simulation	time	observableParameters	noiseParameters	datasetId
pMek_rel	model1_data1	0.2890457361885378	0.25	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.2664185694635477	1.0	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.05326846796565126	5.5	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.05330751822204037	7.0	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.05330430271665209	8.5	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.05330448502782727	10.0	s_pMek_rel_20140430_gel1	s_pMek_rel_20140430_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.26947804098443656	0.0	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	1.4612555665641016	0.25	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	1.3468651113771104	1.0	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.2692959472904211	5.5	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.26949336381445216	7.0	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.26947710799552915	8.5	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pMek_rel	model1_data1	0.2694780296601179	10.0	s_pMek_rel_20140505_gel1	s_pMek_rel_20140505_gel1;sigma_pMek_rel	control
pErk_rel	model1_data2	0.022820619330195413	0.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.037750653794211476	1.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.011577563362067483	5.5	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.011576634634047235	7.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.011576970135300398	8.5	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.011576893591693477	10.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.2597299468985005	0.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.42965421593009245	1.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.1317685499124472	5.5	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.13175797971380834	7.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.13176179817821582	8.5	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pErk_rel	model1_data2	0.131760927006988	10.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	Sorafenib
pMek_rel	model1_data2	0.23699003356071716	0.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.357828707080205	1.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.11440162749435745	5.5	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.11477459986885565	7.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.11472507878847057	8.5	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.11473163273667024	10.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.5849255281066625	0.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.8831727744660174	1.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.28235968986963594	5.5	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.28328023939589553	7.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.2831580142387383	8.5	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pMek_rel	model1_data2	0.28317419032662805	10.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	Sorafenib
pErk_rel	model1_data3	0.006736047578857687	1.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.0037868589718997466	5.5	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.0037913343479712073	7.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.003790745494772537	8.5	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.0037908227143303723	10.0	s_pErk_rel_20140430_gel2	s_pErk_rel_20140430_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.07666546006696386	1.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.043099648850555936	5.5	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.043150584768314015	7.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.0431438828112896	8.5	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	UO126
pErk_rel	model1_data3	0.04314476167576588	10.0	s_pErk_rel_20140505_gel2	s_pErk_rel_20140505_gel2;sigma_pErk_rel	UO126
pMek_rel	model1_data3	2.078148965157676	1.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	1.375499754701807	5.5	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	1.377579664273273	7.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	1.3772966402008164	8.5	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	1.3773351165383614	10.0	s_pMek_rel_20140430_gel2	s_pMek_rel_20140430_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	5.129170888183106	1.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	3.394931459104624	5.5	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	3.4000649754226933	7.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	3.39936643125794	8.5	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	UO126
pMek_rel	model1_data3	3.3994613963993845	10.0	s_pMek_rel_20140505_gel2	s_pMek_rel_20140505_gel2;sigma_pMek_rel	UO126
