parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
scale_pSTAT5_socs3oe	scale_{pSTAT5,socs3oe}	0.001	1000	1.76032560825919	true	uniform	0.001;1000
scale_tSTAT5_actd	scale_{tSTAT5,actd}	0.001	1000	0.815207201779241	true	uniform	0.001;1000
scale_tSTAT5_long	scale_{tSTAT5,long}	0.001	1000	0.762143611844065	true	uniform	0.001;1000
scale_tSTAT5_shp1oe	scale_{tSTAT5,shp1oe}	0.001	1000	0.681101374792296	true	uniform	0.001;1000
sd_CIS_abs	sd_{CIS,abs}	0.001	1000	0.071666890399901	true	uniform	0.001;1000
sd_CIS_au	sd_{CIS,au}	0.001	1000	0.134037028009804	true	uniform	0.001;1000
sd_JAK2EpoR_au	sd_{JAK2EpoR,au}	0.001	1000	0.191838137085675	true	uniform	0.001;1000
sd_RNA_fold	sd_{RNA,fold}	0.001	1000	0.103074376969697	true	uniform	0.001;1000
sd_SHP1_abs	sd_{SHP1,abs}	0.001	1000	0.064904672549311	true	uniform	0.001;1000
sd_SHP1_au	sd_{SHP1,au}	0.001	1000	0.077438644411215	true	uniform	0.001;1000
sd_SOCS3_abs	sd_{SOCS3,abs}	0.001	1000	0.10271619027042	true	uniform	0.001;1000
sd_SOCS3_au	sd_{SOCS3,au}	0.001	1000	0.076348614779106	true	uniform	0.001;1000
sd_STAT5_abs	sd_{STAT5,abs}	0.001	1000	0.119518171917816	true	uniform	0.001;1000
sd_STAT5_au	sd_{STAT5,au}	0.001	1000	0.123518909217589	true	uniform	0.001;1000
sd_pSTAT5_rel	sd_{pSTAT5,rel}	0.001	1000	2.56704055700378	true	uniform	0.001;1000
sd_pSTAT5_socs3oe	sd_{pSTAT5,socs3oe}	0.001	1000	0.573852497761907	true	uniform	0.001;1000
