experimentId	time	conditionId
experiment__model1_data49___model1_data68	-inf	model1_data49
experiment__model1_data49___model1_data68	0.0	model1_data68
experiment__model1_data49___model1_data69	-inf	model1_data49
experiment__model1_data49___model1_data69	0.0	model1_data69
experiment__model1_data49___model1_data7	-inf	model1_data49
experiment__model1_data49___model1_data7	0.0	model1_data7
experiment__model1_data49___model1_data70	-inf	model1_data49
experiment__model1_data49___model1_data70	0.0	model1_data70
experiment__model1_data49___model1_data71	-inf	model1_data49
experiment__model1_data49___model1_data71	0.0	model1_data71
experiment__model1_data49___model1_data72	-inf	model1_data49
experiment__model1_data49___model1_data72	0.0	model1_data72
experiment__model1_data49___model1_data73	-inf	model1_data49
experiment__model1_data49___model1_data73	0.0	model1_data73
experiment__model1_data49___model1_data74	-inf	model1_data49
experiment__model1_data49___model1_data74	0.0	model1_data74
experiment__model1_data49___model1_data75	-inf	model1_data49
experiment__model1_data49___model1_data75	0.0	model1_data75
experiment__model1_data49___model1_data76	-inf	model1_data49
experiment__model1_data49___model1_data76	0.0	model1_data76
experiment__model1_data49___model1_data77	-inf	model1_data49
experiment__model1_data49___model1_data77	0.0	model1_data77
experiment__model1_data49___model1_data78	-inf	model1_data49
experiment__model1_data49___model1_data78	0.0	model1_data78
experiment__model1_data49___model1_data79	-inf	model1_data49
experiment__model1_data49___model1_data79	0.0	model1_data79
experiment__model1_data49___model1_data8	-inf	model1_data49
experiment__model1_data49___model1_data8	0.0	model1_data8
experiment__model1_data49___model1_data80	-inf	model1_data49
experiment__model1_data49___model1_data80	0.0	model1_data80
experiment__model1_data49___model1_data81	-inf	model1_data49
experiment__model1_data49___model1_data81	0.0	model1_data81
experiment__model1_data49___model1_data82	-inf	model1_data49
experiment__model1_data49___model1_data82	0.0	model1_data82
experiment__model1_data49___model1_data83	-inf	model1_data49
experiment__model1_data49___model1_data83	0.0	model1_data83
experiment__model1_data49___model1_data84	-inf	model1_data49
experiment__model1_data49___model1_data84	0.0	model1_data84
experiment__model1_data49___model1_data85	-inf	model1_data49
experiment__model1_data49___model1_data85	0.0	model1_data85
experiment__model1_data49___model1_data86	-inf	model1_data49
experiment__model1_data49___model1_data86	0.0	model1_data86
experiment__model1_data49___model1_data87	-inf	model1_data49
experiment__model1_data49___model1_data87	0.0	model1_data87
experiment__model1_data49___model1_data88	-inf	model1_data49
experiment__model1_data49___model1_data88	0.0	model1_data88
experiment__model1_data49___model1_data89	-inf	model1_data49
experiment__model1_data49___model1_data89	0.0	model1_data89
experiment__model1_data49___model1_data9	-inf	model1_data49
experiment__model1_data49___model1_data9	0.0	model1_data9
experiment__model1_data49___model1_data90	-inf	model1_data49
experiment__model1_data49___model1_data90	0.0	model1_data90
experiment__model1_data49___model1_data91	-inf	model1_data49
experiment__model1_data49___model1_data91	0.0	model1_data91
experiment__model1_data49___model1_data92	-inf	model1_data49
experiment__model1_data49___model1_data92	0.0	model1_data92
experiment__model1_data49___model1_data93	-inf	model1_data49
experiment__model1_data49___model1_data93	0.0	model1_data93
experiment__model1_data49___model1_data94	-inf	model1_data49
experiment__model1_data49___model1_data94	0.0	model1_data94
experiment__model1_data49___model1_data95	-inf	model1_data49
experiment__model1_data49___model1_data95	0.0	model1_data95
experiment__model1_data49___model1_data96	-inf	model1_data49
experiment__model1_data49___model1_data96	0.0	model1_data96
experiment__model1_data49___model1_data97	-inf	model1_data49
experiment__model1_data49___model1_data97	0.0	model1_data97
experiment__model1_data49___model1_data98	-inf	model1_data49
experiment__model1_data49___model1_data98	0.0	model1_data98
experiment__model1_data49___model1_data99	-inf	model1_data49
experiment__model1_data49___model1_data99	0.0	model1_data99
