parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
kDeCDKN1B_2		4.15e-15	4.15e-13	3.04e-14	true	uniform	4.15e-15;4.15e-13
kAsCdkn1bC		1.16e-14	1.16e-12	6.42e-14	true	uniform	1.16e-14;1.16e-12
kDiCdkn1bC		3e-05	0.2740981	0.001670601	true	uniform	3e-05;0.2740981
kPhCDKN1BByCe		4.24e-15	4.46e-13	7.16e-15	true	uniform	4.24e-15;4.46e-13
kPhCDKN1BByCa		8.3e-14	6.15e-08	1.07e-08	true	uniform	8.3e-14;6.15e-08
kPhCDKN1BByCb		8.3e-18	8.3e-16	5.82e-16	true	uniform	8.3e-18;8.3e-16
kDpCDKN1B		0.000851901	1.999773605	0.101919566	true	uniform	0.000851901;1.999773605
kPhNup		1e-24	498.0	0.0	false	uniform	1e-24;498.0
kDpNup_1		1e-24	20.0	0.0	false	uniform	1e-24;20.0
kImImCCND_1		0.000166	0.016600043	0.000270558	true	uniform	0.000166;0.016600043
kExImCCND_1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNE_CDKN1A_B__1		0.001139552	16.74518969	0.122127979	true	uniform	0.001139552;16.74518969
kExImCCNE_CDKN1A_B__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImE2F_DBD_RB1_Ser332u__1		0.000166	0.016600043	0.016263209	true	uniform	0.000166;0.016600043
kExImE2F_DBD_RB1_Ser332u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImE2F_DBD_RB1_Ser332p__1		0.008357794	16.59995526	0.03520216	true	uniform	0.008357794;16.59995526
kExImE2F_DBD_RB1_Ser332p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNA_CDKN1A_B__1		0.160394001	16.59995526	1.089767414	true	uniform	0.160394001;16.59995526
kExImCCNA_CDKN1A_B__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		0.000461299	0.165999583	0.037814672	true	uniform	0.000461299;0.165999583
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		0.001659996	0.165999583	0.022949157	true	uniform	0.001659996;0.165999583
kExImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		0.001350234	16.60003719	0.051403118	true	uniform	0.001350234;16.60003719
kExImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImRB1_E2F_Ser807_Ser811u__1		1.66e-05	0.165999583	0.005618108	true	uniform	1.66e-05;0.165999583
kExImRB1_E2F_Ser807_Ser811u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImRB1_E2F_Ser807_Ser811p__1		0.016600043	267.3612393	62.50368312	true	uniform	0.016600043;267.3612393
kExImRB1_E2F_Ser807_Ser811p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImPPP2R2B_ENSA_ARPP19__1		0.016600043	125.9888018	2.069758595	true	uniform	0.016600043;125.9888018
kExImPPP2R2B_ENSA_ARPP19__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO5_FZR1_CDC20_Ser355u__1		0.000759322	0.165999583	0.087881032	true	uniform	0.000759322;0.165999583
kExImAPC_FBXO5_FZR1_CDC20_Ser355u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDC20_APC__1		0.157424173	15.74241569	0.208677886	true	uniform	0.157424173;15.74241569
kExImCDC20_APC__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		0.001659996	0.165999583	0.003609828	true	uniform	0.001659996;0.165999583
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO5_FZR1_CDC20_Ser355p__1		0.003292497	0.328895129	0.003355541	true	uniform	0.003292497;0.328895129
kExImAPC_FBXO5_FZR1_CDC20_Ser355p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		1.69e-08	0.000166	1.94e-08	true	uniform	1.69e-08;0.000166
kExImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFZR1_APC_FBXO5_nTermu__1		0.000166	1.66000066	0.007335432	true	uniform	0.000166;1.66000066
kExImFZR1_APC_FBXO5_nTermu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFZR1_APC_FBXO5_nTermp__1		1.66e-06	0.166310293	1.72e-06	true	uniform	1.66e-06;0.166310293
kExImFZR1_APC_FBXO5_nTermp__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		1.66e-05	0.165999583	0.002473524	true	uniform	1.66e-05;0.165999583
kExImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFBXO5_APC_FZR1_Ser182u__1		6.36e-09	3.25e-06	5.24e-08	true	uniform	6.36e-09;3.25e-06
kExImFBXO5_APC_FZR1_Ser182u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		12.55798405	126951.032	124107.6639	true	uniform	12.55798405;126951.032
kExImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		1.66e-07	1.66e-05	1.71e-07	true	uniform	1.66e-07;1.66e-05
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFBXO5_APC_FZR1_Ser182p__1		5.71e-05	0.005711691	0.004088616	true	uniform	5.71e-05;0.005711691
kExImFBXO5_APC_FZR1_Ser182p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFOXM1_DBD_Thr600u__1		0.001659996	16.59995526	0.001965284	true	uniform	0.001659996;16.59995526
kExImFOXM1_DBD_Thr600u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFOXM1_DBD_Thr600p__1		0.001659996	0.165999583	0.002472767	true	uniform	0.001659996;0.165999583
kExImFOXM1_DBD_Thr600p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImWEE1_Ser123u__1		0.001659996	0.165999583	0.001981796	true	uniform	0.001659996;0.165999583
kExImWEE1_Ser123u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		0.000416056	1.66000066	0.029824538	true	uniform	0.000416056;1.66000066
kExImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImWEE1_Ser123p__1		0.000166	0.016600043	0.013936902	true	uniform	0.000166;0.016600043
kExImWEE1_Ser123p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDC25_pSitesp__1		0.000225004	1.66000066	0.080082505	true	uniform	0.000225004;1.66000066
kExImCDC25_pSitesp__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDC25_pSitesu__1		0.001659996	0.165999583	0.001833048	true	uniform	0.001659996;0.165999583
kExImCDC25_pSitesu__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImMASTL_Thr198u__1		0.173125426	18.40172795	0.330307411	true	uniform	0.173125426;18.40172795
kExImMASTL_Thr198u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImMASTL_Thr198p__1		0.016600043	1.66000066	0.022208649	true	uniform	0.016600043;1.66000066
kExImMASTL_Thr198p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImENSA_ARPP19_PPP2R2B_Ser62_Ser67u__1		0.000102429	0.010242885	0.001596085	true	uniform	0.000102429;0.010242885
kExImENSA_ARPP19_PPP2R2B_Ser62_Ser67u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImENSA_ARPP19_PPP2R2B_Ser62_Ser67p__1		0.000166	0.016600043	0.000465132	true	uniform	0.000166;0.016600043
kExImENSA_ARPP19_PPP2R2B_Ser62_Ser67p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImENSA_ARPP19_PPP2R2B1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP191__1		0.000166	1.66000398	0.00449523	true	uniform	0.000166;1.66000398
kExImENSA_ARPP19_PPP2R2B1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP191__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImSKP2_1		0.081842857	336690.7055	2.402387715	true	uniform	0.081842857;336690.7055
kExImSKP2_1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImTP53_DBD_Ser15p__1		0.016600043	166.0003671	162.7889531	true	uniform	0.016600043;166.0003671
kExImTP53_DBD_Ser15p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImFOXO_DBD__1		0.000166001	1.66000066	0.001128416	true	uniform	0.000166001;1.66000066
kExImFOXO_DBD__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDKN1A_CCNE_A_B_Ser130u__1		0.548330021	54.83288186	2.02155829	true	uniform	0.548330021;54.83288186
kExImCDKN1A_CCNE_A_B_Ser130u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDKN1B_CCNE_A_Thr187u__1		0.016600043	1.66000066	0.040202595	true	uniform	0.016600043;1.66000066
kExImCDKN1B_CCNE_A_Thr187u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNA_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		1561.641213	14691104.79	7992425.476	true	uniform	1561.641213;14691104.79
kExImCCNA_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNE_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		0.016600043	1.66000066	0.102576094	true	uniform	0.016600043;1.66000066
kExImCCNE_CDKN1A_B1__CDKN1A_CCNE_A_B1_Ser130u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		3.59e-09	1.32e-05	1.23e-05	true	uniform	3.59e-09;1.32e-05
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNB_CDK1_Thr14_Tyr15p_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		0.165999583	13879.90024	3.784786193	true	uniform	0.165999583;13879.90024
kExImCCNB_CDK1_Thr14_Tyr15p_CDKN1A1__CDKN1A_CCNE_A_B1_Ser130u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDKN1A_CCNE_A_B_Ser130p__1		1.66e-08	1.659999923	0.082010175	true	uniform	1.66e-08;1.659999923
kExImCDKN1A_CCNE_A_B_Ser130p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		5.56e-08	0.001332111	2.13e-07	true	uniform	5.56e-08;0.001332111
kExImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		0.165999583	166.0003671	0.944904741	true	uniform	0.165999583;166.0003671
kExImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187u__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCDKN1B_CCNE_A_Thr187p__1		0.165999992	16600908.82	1.835277654	true	uniform	0.165999992;16600908.82
kExImCDKN1B_CCNE_A_Thr187p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		0.068873505	16.59995526	1.078780672	true	uniform	0.068873505;16.59995526
kExImCCNA_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kImImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		2.98e-11	0.002976089	0.001659903	true	uniform	2.98e-11;0.002976089
kExImCCNE_CDKN1A_B1__CDKN1B_CCNE_A1_Thr187p__1		0.00166	0.166	0.016605779	false	uniform	0.00166;0.166
kIm_2		1e-24	1.66	0.0	false	uniform	1e-24;1.66
kEx_2		1e-24	1.66	0.0	false	uniform	1e-24;1.66
ic_wt_Cyt__CCND		9747590712.0	975000000000.0	60200000000.0	false	uniform	9747590712.0;975000000000.0
ic_wt_Cyt__CCNE_CDKN1A_B_		94223752.43	9422375243.0	3756446237.0	true	uniform	94223752.43;9422375243.0
ic_wt_Cyt__E2F_DBD_RB1_Ser332u_		2819.576401	4987448.156	812609.3916	true	uniform	2819.576401;4987448.156
ic_wt_Cyt__E2F_DBD_RB1_Ser332p_		809.8047037	527265.2451	36394.70148	true	uniform	809.8047037;527265.2451
ic_wt_Cyt__CCNA_CDKN1A_B_		596.2891906	1735180.147	26450.34566	true	uniform	596.2891906;1735180.147
ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_		79128738.68	21293785089.0	372649445.6	true	uniform	79128738.68;21293785089.0
ic_wt_Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		17347494.36	85464672628.0	34557370180.0	true	uniform	17347494.36;85464672628.0
ic_wt_Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		493866.4269	49386642.69	8913698.886	true	uniform	493866.4269;49386642.69
ic_wt_Cyt__RB1_E2F_Ser807_Ser811u_		26400000000.0	15200000000000.0	56843416928.0	true	uniform	26400000000.0;15200000000000.0
ic_wt_Cyt__RB1_E2F_Ser807_Ser811p_		761.8668525	303088.9406	178129.6392	true	uniform	761.8668525;303088.9406
ic_wt_Cyt__PPP2R2B_ENSA_ARPP19_		34289.99796	9313919218.0	4491824287.0	true	uniform	34289.99796;9313919218.0
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355u_		1940272404.0	194000000000.0	30090474968.0	true	uniform	1940272404.0;194000000000.0
ic_wt_Cyt__CDC20_APC_		10478267221.0	3.43e+16	10478267221.0	true	uniform	10478267221.0;3.43e+16
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		1437715989.0	4.3e+17	5175057573.0	true	uniform	1437715989.0;4.3e+17
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_Ser355p_		1861706576.0	186000000000.0	10970496800.0	true	uniform	1861706576.0;186000000000.0
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		9068458363.0	7960000000000.0	17524621838.0	true	uniform	9068458363.0;7960000000000.0
ic_wt_Cyt__FZR1_APC_FBXO5_nTermu_		1801581.197	1380000000000.0	1061367838.0	true	uniform	1801581.197;1380000000000.0
ic_wt_Cyt__FZR1_APC_FBXO5_nTermp_		24300000000.0	43800000000000.0	55091151508.0	true	uniform	24300000000.0;43800000000000.0
ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		533545557.4	53354555739.0	5986519599.0	true	uniform	533545557.4;53354555739.0
ic_wt_Cyt__FBXO5_APC_FZR1_Ser182u_		653.5765599	4320004.317	1528852.516	true	uniform	653.5765599;4320004.317
ic_wt_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		13262188.48	1326218848.0	368863872.0	true	uniform	13262188.48;1326218848.0
ic_wt_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		4090000000.0	16500000000000.0	18339076679.0	true	uniform	4090000000.0;16500000000000.0
ic_wt_Cyt__FBXO5_APC_FZR1_Ser182p_		1267780.515	10753034917.0	8687065262.0	true	uniform	1267780.515;10753034917.0
ic_wt_Cyt__FOXM1_DBD_Thr600u_		642623.1885	64262318.85	37622935.4	true	uniform	642623.1885;64262318.85
