experimentId	observableId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	datasetId
experiment____model1_data1	observable_SOCS3mRNA	11.62681448	60.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	5.710282463	80.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	1.24343046	90.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	0.659244766	100.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_SOCS3mRNA	14.54733886	120.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data1_SOCS3mRNA
experiment____model1_data1	observable_CD274mRNA	0.01	30.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data1_CD274mRNA
experiment____model1_data1	observable_CD274mRNA	0.042114502	60.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data1_CD274mRNA
experiment____model1_data1	observable_CD274mRNA	0.01	90.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data1_CD274mRNA
experiment____model1_data1	observable_CD274mRNA	0.009833619	120.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data1_CD274mRNA
experiment____model1_data1	observable_SOCS3	8.334077674	0.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data1	observable_SOCS3	6.442655791	20.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data1	observable_SOCS3	7.624794468	40.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data1	observable_SOCS3	8.688719277	60.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data1	observable_SOCS3	13.29906012	90.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data1	observable_SOCS3	16.43172761	120.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data1_SOCS3
experiment____model1_data2	observable_IL13_cell	3.974680793	5.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	4.129735323	10.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	5.016417523	15.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	4.932573221	20.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	6.024846242	30.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	6.352183583	40.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	5.878980129	50.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	5.07614223	60.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	6.210911678	80.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	5.946744701	100.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_IL13_cell	5.094519064	120.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data2_IL13_cell
experiment____model1_data2	observable_pIL4Ra	0.185418978	0.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	0.442239546	4.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.63082953	5.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.926293409	7.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.40013759	10.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	2.223954642	15.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	2.258737723	20.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.541743723	30.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.659951486	40.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	2.283486889	45.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pIL4Ra	1.364989369	60.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data2_pIL4Ra
experiment____model1_data2	observable_pJAK2	0.221391383	0.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	0.689572875	4.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.278252103	5.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.688749897	7.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.388817503	10.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	2.02085372	15.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	2.10261027	20.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.642938963	25.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	2.055630098	30.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.764426702	40.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.81682256	45.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.099656357	50.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.480674485	60.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.584028801	80.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	0.922925871	100.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_pJAK2	1.204385534	120.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data2_pJAK2
experiment____model1_data2	observable_SOCS3mRNA	1.399863921	0.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	15.59376831	20.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	29.66110989	30.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	250.7513584	40.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	208.0216845	60.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	719.6189149	80.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	1154.942401	90.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	504.6313426	100.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_SOCS3mRNA	1017.019576	120.0	scaling_SOCS3mRNA	sd_SOCS3mRNA_abs;sd_SOCS3mRNA_rel	lin	normal	model1_data2_SOCS3mRNA
experiment____model1_data2	observable_CD274mRNA	0.01	30.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data2_CD274mRNA
experiment____model1_data2	observable_CD274mRNA	0.67477531	60.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data2_CD274mRNA
experiment____model1_data2	observable_CD274mRNA	2.304976603	90.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data2_CD274mRNA
experiment____model1_data2	observable_CD274mRNA	1.774992771	120.0	scaling_CD274mRNA	sd_CD274mRNA_abs;sd_CD274mRNA_rel	lin	normal	model1_data2_CD274mRNA
experiment____model1_data2	observable_SOCS3	35.10201482	0.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	23.88158667	20.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	79.71985958	40.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	148.678	60.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	259.1129009	80.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	271.9076533	90.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	255.3756956	100.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_SOCS3	204.4612162	120.0		sd_SOCS3_abs;sd_SOCS3_rel	lin	normal	model1_data2_SOCS3
experiment____model1_data2	observable_pSTAT5	1.716733095	0.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	9.772025181	5.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	32.81159437	10.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	50.80322648	15.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	68.99256124	20.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	107.9066904	25.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	111.5714137	30.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	106.7423055	35.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	104.28	40.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	125.2740088	45.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	115.7026455	50.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	128.2373073	60.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	123.2374928	70.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	89.65411083	80.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	65.83056831	90.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	108.2978696	100.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data2	observable_pSTAT5	80.75011175	120.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data2_pSTAT5
experiment____model1_data3	observable_RecSurf	1.40469351	0.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.36298049	10.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.333586237	20.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.210536056	30.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.256908767	60.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.255595571	90.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_RecSurf	1.230653226	120.0		sd_RecSurf_abs;sd_RecSurf_rel	lin	normal	model1_data3_RecSurf
experiment____model1_data3	observable_IL13_cell	1.185996361	5.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	1.458203202	10.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	1.797026064	15.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	1.783243439	20.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.295497663	30.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.470077578	40.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.514871109	50.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.656143014	60.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.955915105	80.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	3.199408144	100.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_IL13_cell	2.6205379	120.0	scaling_IL13_cell	sd_IL13_cell_abs;sd_IL13_cell_rel	lin	normal	model1_data3_IL13_cell
experiment____model1_data3	observable_pIL4Ra	0.338107913	0.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.084337349	4.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	0.539111503	5.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	0.299787385	7.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	0.845156744	10.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.175990856	15.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.35788895	17.5	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.442254159	20.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.123066049	22.5	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.551873086	25.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.147885063	30.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	0.995444907	35.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.242317637	40.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.28102483	45.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.194533888	50.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pIL4Ra	1.133331567	60.0	scaling_pIL4Ra	sd_pIL4Ra_abs;sd_pIL4Ra_rel	lin	normal	model1_data3_pIL4Ra
experiment____model1_data3	observable_pJAK2	0.187105104	0.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.533560311	2.5	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.645132088	4.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.639432248	5.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.245165007	7.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.152528245	7.5	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.834682988	10.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.45841689	12.5	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.288880253	15.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.275386838	17.5	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.432895442	20.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.842800855	25.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.36716485	30.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.753162054	35.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.434440914	40.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.036951691	45.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.150316562	50.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.37390999	60.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.216679546	75.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	1.490035697	90.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.365588806	105.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pJAK2	0.66753154	120.0	scaling_pJAK2	sd_pJAK2_abs;sd_pJAK2_rel	lin	normal	model1_data3_pJAK2
experiment____model1_data3	observable_pSTAT5	1.598406966	0.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
experiment____model1_data3	observable_pSTAT5	2.012148639	5.0		sd_pSTAT5_abs;sd_pSTAT5_rel	lin	normal	model1_data3_pSTAT5
