parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
k44	k44	1e-05	1000.0	1.07e-05	true	
k45	k45	-5.0	3.0	0.0	false	
k47	k47	-5.0	3.0	0.0	false	
k48	k48	1e-05	1000.0	2.37e-05	true	
k49	k49	-5.0	3.0	0.0	false	
k4b	k4b	-5.0	3.0	0.0	false	
k5	k5	-5.0	3.0	0.0	false	
k50	k50	4.75e-09	1000.0	4.75e-08	true	
k52	k52	8.85e-07	1000.0	8.85e-06	true	
k53	k53	-5.0	3.0	0.0	false	
k55	k55	-5.0	3.0	0.0	false	
k56	k56	1e-05	1000.0	0.000397392	true	
k57	k57	-5.0	3.0	0.0	false	
k58	k58	8.33e-08	1000.0	8.33e-07	true	
k5b	k5b	-5.0	3.0	0.0	false	
k6	k6	1e-05	1000.0	0.013	true	
k60	k60	1e-05	1000.0	0.00266742	true	
k60b	k60b	1e-05	1000.0	0.0471248	true	
k60c	k60c	1e-05	1000.0	0.00052	true	
k61	k61	1e-05	1000.0	0.00057	true	
k62b	k62b	1e-05	1000.0	0.000416	true	
k64	k64	1e-05	1000.0	1.67e-05	true	
k65	k65	-5.0	3.0	0.0	false	
k66	k66	1e-05	1000.0	1.5e-05	true	
k67	k67	1e-05	1000.0	5e-05	true	
k68	k68	-5.0	3.0	0.0	false	
k69	k69	1e-05	1000.0	3.33e-05	true	
k6b	k6b	-5.0	3.0	0.0	false	
k7	k7	1e-05	1000.0	5e-05	true	
k70	k70	6.67e-08	1000.0	6.67e-07	true	
k71	k71	-5.0	3.0	0.0	false	
k72	k72	-5.0	3.0	0.0	false	
k73	k73	1e-05	1000.0	0.00374845	true	
k74	k74	6.36e-08	1000.0	6.36e-07	true	
k75	k75	-5.0	3.0	0.0	false	
k76	k76	-5.0	3.0	0.0	false	
k8	k8	5.91e-08	1000.0	5.91e-07	true	
k8b	k8b	9.35e-07	1000.0	9.35e-06	true	
k94	k94	1e-05	1000.0	5e-05	true	
k94b	k94b	1e-05	1000.0	5e-05	true	
k95	k95	-5.0	3.0	0.0	false	
k96	k96	1.67e-07	1000.0	1.67e-06	true	
kd10	kd10	1e-05	1000.0	0.011	true	
kd100	kd100	1e-05	1000.0	0.001	true	
kd101	kd101	1e-05	1000.0	0.03	true	
kd102	kd102	1e-05	1000.0	5.61009	true	
kd103	kd103	1e-05	1000.0	0.016	true	
kd104	kd104	1e-05	1000.0	0.2	true	
kd105	kd105	1e-05	1000.0	0.1	true	
kd106	kd106	1e-05	1000.0	0.1	true	
kd106b	kd106b	1e-05	1000.0	0.1	true	
kd107	kd107	1e-05	1000.0	0.1	true	
kd108	kd108	1e-05	1000.0	5.0	true	
kd109	kd109	1e-05	1000.0	0.1	true	
kd110	kd110	1e-05	1000.0	0.1	true	
kd111	kd111	1e-05	1000.0	6.57	true	
kd112	kd112	1e-05	1000.0	0.1	true	
kd113	kd113	1e-05	1000.0	177.827999999999	true	
kd114	kd114	1e-05	1000.0	0.1	true	
kd115	kd115	1e-05	1000.0	1.0	true	
kd116	kd116	-5.0	3.0	0.0	false	
kd117	kd117	1e-05	1000.0	0.1	true	
kd118	kd118	1e-05	1000.0	0.03	true	
kd119	kd119	1e-05	1000.0	0.0103115	true	
kd120	kd120	1e-05	1000.0	0.1	true	
kd123	kd123	1e-05	1000.0	0.177828	true	
kd123h	kd123h	1e-05	1000.0	0.1	true	
kd15	kd15	-5.0	3.0	0.0	false	
kd17	kd17	1e-05	1000.0	0.06	true	
kd18	kd18	1e-05	1000.0	1.3	true	
kd19	kd19	1e-05	1000.0	0.5	true	
kd2	kd2	1e-05	1000.0	0.16	true	
kd20	kd20	1e-05	1000.0	0.4	true	
kd21	kd21	1e-05	1000.0	0.23	true	
kd22	kd22	1e-05	1000.0	0.1	true	
kd22b	kd22b	1e-05	1000.0	0.1	true	
kd23	kd23	1e-05	1000.0	0.06	true	
kd24	kd24	1e-05	1000.0	0.55	true	
kd25	kd25	1e-05	1000.0	0.0214	true	
kd28	kd28	1e-05	1000.0	0.0053	true	
kd29	kd29	1e-05	1000.0	3.1	true	
kd2b	kd2b	1e-05	1000.0	0.016	true	
kd32	kd32	1e-05	1000.0	0.1	true	
kd33	kd33	1e-05	1000.0	0.2	true	
kd34	kd34	1e-05	1000.0	0.03	true	
kd35	kd35	1e-05	1000.0	0.0015	true	
kd36	kd36	-5.0	3.0	0.0	false	
kd37	kd37	1e-05	1000.0	0.3	true	
kd4	kd4	1e-05	1000.0	0.000166	true	
kd40	kd40	1e-05	1000.0	0.064	true	
kd41	kd41	1e-05	1000.0	0.0429	true	
kd42	kd42	1e-05	1000.0	0.0141589	true	
kd43	kd43	1e-05	1000.0	31.6228000000003	true	
kd44	kd44	1e-05	1000.0	0.01833	true	
kd45	kd45	1e-05	1000.0	1.9	true	
kd47	kd47	1e-05	1000.0	0.800000000000001	true	
kd48	kd48	1e-05	1000.0	0.789999999999999	true	
kd49	kd49	1e-05	1000.0	0.112387	true	
kd5	kd5	1e-05	1000.0	0.808329999999999	true	
kd50	kd50	1e-05	1000.0	0.252982	true	
kd52	kd52	1e-05	1000.0	0.033	true	
kd53	kd53	1e-05	1000.0	0.28	true	
kd55	kd55	1e-05	1000.0	70.1661999999996	true	
kd56	kd56	1e-05	1000.0	5.0	true	
kd57	kd57	1e-05	1000.0	0.0076	true	
kd58	kd58	1e-05	1000.0	56.7861999999997	true	
kd5b	kd5b	1e-05	1000.0	0.0080833	true	
kd60	kd60	-5.0	3.0	0.0	false	
kd60b	kd60b	-5.0	3.0	0.0	false	
kd61	kd61	-5.0	3.0	0.0	false	
kd63	kd63	1e-05	1000.0	0.275	true	
kd64	kd64	1e-05	1000.0	0.3	true	
kd65	kd65	1e-05	1000.0	0.2	true	
kd66	kd66	1e-05	1000.0	0.2	true	
kd67	kd67	1e-05	1000.0	0.02	true	
kd68	kd68	1e-05	1000.0	0.2	true	
kd68b	kd68b	1e-05	1000.0	20.4999999999998	true	
kd69	kd69	1e-05	1000.0	0.1	true	
kd6b	kd6b	-5.0	3.0	0.0	false	
kd7	kd7	1e-05	1000.0	0.000138	true	
kd70	kd70	1e-05	1000.0	0.1	true	
kd71	kd71	1e-05	1000.0	25.1999999999998	true	
kd72	kd72	1e-05	1000.0	5.01187	true	
kd73	kd73	1e-05	1000.0	0.5	true	
kd74	kd74	1e-05	1000.0	0.355656	true	
kd75	kd75	1e-05	1000.0	0.00633957	true	
kd76	kd76	1e-05	1000.0	142.261999999999	true	
kd8	kd8	1e-05	1000.0	0.2	true	
kd8b	kd8b	1e-05	1000.0	0.02	true	
kd94	kd94	1e-05	1000.0	0.01	true	
kd95	kd95	1e-05	1000.0	33.0000000000002	true	
kd96	kd96	1e-05	1000.0	0.1	true	
kd97	kd97	1e-05	1000.0	0.015	true	
kd97c	kd97c	1e-05	1000.0	0.001	true	
kd98	kd98	1e-05	1000.0	0.001	true	
kd99	kd99	1e-05	1000.0	0.5	true	
