observableId	observableName	observableFormula	noiseFormula	noiseDistribution	observablePlaceholders	noisePlaceholders
pEGFR_ID10_HS746T_FM_EGF_CET	pEGFR_ID10_HS746T_FM_EGF_CET	observableParameter1_pEGFR_ID10_HS746T_FM_EGF_CET*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID10_HS746T_FM_EGF_CET		observableParameter1_pEGFR_ID10_HS746T_FM_EGF_CET	noiseParameter1_pEGFR_ID10_HS746T_FM_EGF_CET
pEGFR_ID10_HS746T_FM_EGF	pEGFR_ID10_HS746T_FM_EGF	observableParameter1_pEGFR_ID10_HS746T_FM_EGF*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID10_HS746T_FM_EGF		observableParameter1_pEGFR_ID10_HS746T_FM_EGF	noiseParameter1_pEGFR_ID10_HS746T_FM_EGF
pEGFR_ID12_MKN1_FM_HM	pEGFR_ID12_MKN1_FM_HM	observableParameter1_pEGFR_ID12_MKN1_FM_HM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID12_MKN1_FM_HM		observableParameter1_pEGFR_ID12_MKN1_FM_HM	noiseParameter1_pEGFR_ID12_MKN1_FM_HM
pEGFR_ID2_HS746T_HM	pEGFR_ID2_HS746T_HM	observableParameter1_pEGFR_ID2_HS746T_HM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID2_HS746T_HM		observableParameter1_pEGFR_ID2_HS746T_HM	noiseParameter1_pEGFR_ID2_HS746T_HM
pEGFR_ID2_MKN1_HM	pEGFR_ID2_MKN1_HM	observableParameter1_pEGFR_ID2_MKN1_HM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID2_MKN1_HM		observableParameter1_pEGFR_ID2_MKN1_HM	noiseParameter1_pEGFR_ID2_MKN1_HM
pEGFR_ID3_HS746T_FM	pEGFR_ID3_HS746T_FM	observableParameter1_pEGFR_ID3_HS746T_FM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID3_HS746T_FM		observableParameter1_pEGFR_ID3_HS746T_FM	noiseParameter1_pEGFR_ID3_HS746T_FM
pEGFR_ID3_MKN1_FM	pEGFR_ID3_MKN1_FM	observableParameter1_pEGFR_ID3_MKN1_FM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID3_MKN1_FM		observableParameter1_pEGFR_ID3_MKN1_FM	noiseParameter1_pEGFR_ID3_MKN1_FM
pEGFR_ID4_HS746T_HM_3min	pEGFR_ID4_HS746T_HM_3min	observableParameter1_pEGFR_ID4_HS746T_HM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID4_HS746T_HM_3min		observableParameter1_pEGFR_ID4_HS746T_HM_3min	noiseParameter1_pEGFR_ID4_HS746T_HM_3min
pEGFR_ID4_MKN1_HM_3min	pEGFR_ID4_MKN1_HM_3min	observableParameter1_pEGFR_ID4_MKN1_HM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID4_MKN1_HM_3min		observableParameter1_pEGFR_ID4_MKN1_HM_3min	noiseParameter1_pEGFR_ID4_MKN1_HM_3min
pEGFR_ID5_MKN1_FM_15min	pEGFR_ID5_MKN1_FM_15min	observableParameter1_pEGFR_ID5_MKN1_FM_15min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID5_MKN1_FM_15min		observableParameter1_pEGFR_ID5_MKN1_FM_15min	noiseParameter1_pEGFR_ID5_MKN1_FM_15min
pEGFR_ID5_MKN1_FM_1min	pEGFR_ID5_MKN1_FM_1min	observableParameter1_pEGFR_ID5_MKN1_FM_1min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID5_MKN1_FM_1min		observableParameter1_pEGFR_ID5_MKN1_FM_1min	noiseParameter1_pEGFR_ID5_MKN1_FM_1min
pEGFR_ID5_MKN1_FM_240min	pEGFR_ID5_MKN1_FM_240min	observableParameter1_pEGFR_ID5_MKN1_FM_240min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID5_MKN1_FM_240min		observableParameter1_pEGFR_ID5_MKN1_FM_240min	noiseParameter1_pEGFR_ID5_MKN1_FM_240min
pEGFR_ID5_MKN1_FM_3min	pEGFR_ID5_MKN1_FM_3min	observableParameter1_pEGFR_ID5_MKN1_FM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID5_MKN1_FM_3min		observableParameter1_pEGFR_ID5_MKN1_FM_3min	noiseParameter1_pEGFR_ID5_MKN1_FM_3min
pEGFR_ID6_MKN1_HM_15min	pEGFR_ID6_MKN1_HM_15min	observableParameter1_pEGFR_ID6_MKN1_HM_15min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID6_MKN1_HM_15min		observableParameter1_pEGFR_ID6_MKN1_HM_15min	noiseParameter1_pEGFR_ID6_MKN1_HM_15min
pEGFR_ID6_MKN1_HM_1min	pEGFR_ID6_MKN1_HM_1min	observableParameter1_pEGFR_ID6_MKN1_HM_1min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID6_MKN1_HM_1min		observableParameter1_pEGFR_ID6_MKN1_HM_1min	noiseParameter1_pEGFR_ID6_MKN1_HM_1min
pEGFR_ID6_MKN1_HM_240min	pEGFR_ID6_MKN1_HM_240min	observableParameter1_pEGFR_ID6_MKN1_HM_240min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID6_MKN1_HM_240min		observableParameter1_pEGFR_ID6_MKN1_HM_240min	noiseParameter1_pEGFR_ID6_MKN1_HM_240min
pEGFR_ID6_MKN1_HM_3min	pEGFR_ID6_MKN1_HM_3min	observableParameter1_pEGFR_ID6_MKN1_HM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID6_MKN1_HM_3min		observableParameter1_pEGFR_ID6_MKN1_HM_3min	noiseParameter1_pEGFR_ID6_MKN1_HM_3min
pEGFR_ID7_HS746T_FM_15min	pEGFR_ID7_HS746T_FM_15min	observableParameter1_pEGFR_ID7_HS746T_FM_15min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID7_HS746T_FM_15min		observableParameter1_pEGFR_ID7_HS746T_FM_15min	noiseParameter1_pEGFR_ID7_HS746T_FM_15min
pEGFR_ID7_HS746T_FM_1min	pEGFR_ID7_HS746T_FM_1min	observableParameter1_pEGFR_ID7_HS746T_FM_1min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID7_HS746T_FM_1min		observableParameter1_pEGFR_ID7_HS746T_FM_1min	noiseParameter1_pEGFR_ID7_HS746T_FM_1min
pEGFR_ID7_HS746T_FM_240min	pEGFR_ID7_HS746T_FM_240min	observableParameter1_pEGFR_ID7_HS746T_FM_240min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID7_HS746T_FM_240min		observableParameter1_pEGFR_ID7_HS746T_FM_240min	noiseParameter1_pEGFR_ID7_HS746T_FM_240min
pEGFR_ID7_HS746T_FM_3min	pEGFR_ID7_HS746T_FM_3min	observableParameter1_pEGFR_ID7_HS746T_FM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID7_HS746T_FM_3min		observableParameter1_pEGFR_ID7_HS746T_FM_3min	noiseParameter1_pEGFR_ID7_HS746T_FM_3min
pEGFR_ID8_HS746T_HM_15min	pEGFR_ID8_HS746T_HM_15min	observableParameter1_pEGFR_ID8_HS746T_HM_15min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID8_HS746T_HM_15min		observableParameter1_pEGFR_ID8_HS746T_HM_15min	noiseParameter1_pEGFR_ID8_HS746T_HM_15min
pEGFR_ID8_HS746T_HM_1min	pEGFR_ID8_HS746T_HM_1min	observableParameter1_pEGFR_ID8_HS746T_HM_1min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID8_HS746T_HM_1min		observableParameter1_pEGFR_ID8_HS746T_HM_1min	noiseParameter1_pEGFR_ID8_HS746T_HM_1min
pEGFR_ID8_HS746T_HM_240min	pEGFR_ID8_HS746T_HM_240min	observableParameter1_pEGFR_ID8_HS746T_HM_240min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID8_HS746T_HM_240min		observableParameter1_pEGFR_ID8_HS746T_HM_240min	noiseParameter1_pEGFR_ID8_HS746T_HM_240min
pEGFR_ID8_HS746T_HM_3min	pEGFR_ID8_HS746T_HM_3min	observableParameter1_pEGFR_ID8_HS746T_HM_3min*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID8_HS746T_HM_3min		observableParameter1_pEGFR_ID8_HS746T_HM_3min	noiseParameter1_pEGFR_ID8_HS746T_HM_3min
pEGFR_ID9_HS746T_FM	pEGFR_ID9_HS746T_FM	observableParameter1_pEGFR_ID9_HS746T_FM*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID9_HS746T_FM		observableParameter1_pEGFR_ID9_HS746T_FM	noiseParameter1_pEGFR_ID9_HS746T_FM
pEGFR_ID9_HS746T_HM_30EGF	pEGFR_ID9_HS746T_HM_30EGF	observableParameter1_pEGFR_ID9_HS746T_HM_30EGF*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID9_HS746T_HM_30EGF		observableParameter1_pEGFR_ID9_HS746T_HM_30EGF	noiseParameter1_pEGFR_ID9_HS746T_HM_30EGF
pEGFR_ID9_HS746T_HM_5EGF	pEGFR_ID9_HS746T_HM_5EGF	observableParameter1_pEGFR_ID9_HS746T_HM_5EGF*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID9_HS746T_HM_5EGF		observableParameter1_pEGFR_ID9_HS746T_HM_5EGF	noiseParameter1_pEGFR_ID9_HS746T_HM_5EGF
pEGFR_ID9b_MKN1_HM_1EGF	pEGFR_ID9b_MKN1_HM_1EGF	observableParameter1_pEGFR_ID9b_MKN1_HM_1EGF*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID9b_MKN1_HM_1EGF		observableParameter1_pEGFR_ID9b_MKN1_HM_1EGF	noiseParameter1_pEGFR_ID9b_MKN1_HM_1EGF
pEGFR_ID9b_MKN1_HM_5EGF	pEGFR_ID9b_MKN1_HM_5EGF	observableParameter1_pEGFR_ID9b_MKN1_HM_5EGF*(2*pEGFR_EGF_2 + 2*pEGFR_EGF_2_i + pMMET_pEGFR + pMMET_pEGFR_i)	noiseParameter1_pEGFR_ID9b_MKN1_HM_5EGF		observableParameter1_pEGFR_ID9b_MKN1_HM_5EGF	noiseParameter1_pEGFR_ID9b_MKN1_HM_5EGF
pMAPK_ID10_HS746T_FM_EGF_CET	pMAPK_ID10_HS746T_FM_EGF_CET	pMAPK*observableParameter1_pMAPK_ID10_HS746T_FM_EGF_CET	noiseParameter1_pMAPK_ID10_HS746T_FM_EGF_CET		observableParameter1_pMAPK_ID10_HS746T_FM_EGF_CET	noiseParameter1_pMAPK_ID10_HS746T_FM_EGF_CET
pMAPK_ID10_HS746T_FM_EGF	pMAPK_ID10_HS746T_FM_EGF	pMAPK*observableParameter1_pMAPK_ID10_HS746T_FM_EGF	noiseParameter1_pMAPK_ID10_HS746T_FM_EGF		observableParameter1_pMAPK_ID10_HS746T_FM_EGF	noiseParameter1_pMAPK_ID10_HS746T_FM_EGF
pMAPK_ID12_MKN1_FM_HM	pMAPK_ID12_MKN1_FM_HM	pMAPK*observableParameter1_pMAPK_ID12_MKN1_FM_HM	noiseParameter1_pMAPK_ID12_MKN1_FM_HM		observableParameter1_pMAPK_ID12_MKN1_FM_HM	noiseParameter1_pMAPK_ID12_MKN1_FM_HM
pMAPK_ID2_HS746T_HM	pMAPK_ID2_HS746T_HM	pMAPK*observableParameter1_pMAPK_ID2_HS746T_HM	noiseParameter1_pMAPK_ID2_HS746T_HM		observableParameter1_pMAPK_ID2_HS746T_HM	noiseParameter1_pMAPK_ID2_HS746T_HM
pMAPK_ID2_MKN1_HM	pMAPK_ID2_MKN1_HM	pMAPK*observableParameter1_pMAPK_ID2_MKN1_HM	noiseParameter1_pMAPK_ID2_MKN1_HM		observableParameter1_pMAPK_ID2_MKN1_HM	noiseParameter1_pMAPK_ID2_MKN1_HM
pMAPK_ID5_MKN1_FM_15min	pMAPK_ID5_MKN1_FM_15min	pMAPK*observableParameter1_pMAPK_ID5_MKN1_FM_15min	noiseParameter1_pMAPK_ID5_MKN1_FM_15min		observableParameter1_pMAPK_ID5_MKN1_FM_15min	noiseParameter1_pMAPK_ID5_MKN1_FM_15min
pMAPK_ID5_MKN1_FM_1min	pMAPK_ID5_MKN1_FM_1min	pMAPK*observableParameter1_pMAPK_ID5_MKN1_FM_1min	noiseParameter1_pMAPK_ID5_MKN1_FM_1min		observableParameter1_pMAPK_ID5_MKN1_FM_1min	noiseParameter1_pMAPK_ID5_MKN1_FM_1min
pMAPK_ID5_MKN1_FM_240min	pMAPK_ID5_MKN1_FM_240min	pMAPK*observableParameter1_pMAPK_ID5_MKN1_FM_240min	noiseParameter1_pMAPK_ID5_MKN1_FM_240min		observableParameter1_pMAPK_ID5_MKN1_FM_240min	noiseParameter1_pMAPK_ID5_MKN1_FM_240min
pMAPK_ID5_MKN1_FM_3min	pMAPK_ID5_MKN1_FM_3min	pMAPK*observableParameter1_pMAPK_ID5_MKN1_FM_3min	noiseParameter1_pMAPK_ID5_MKN1_FM_3min		observableParameter1_pMAPK_ID5_MKN1_FM_3min	noiseParameter1_pMAPK_ID5_MKN1_FM_3min
pMAPK_ID7_HS746T_FM_15min	pMAPK_ID7_HS746T_FM_15min	pMAPK*observableParameter1_pMAPK_ID7_HS746T_FM_15min	noiseParameter1_pMAPK_ID7_HS746T_FM_15min		observableParameter1_pMAPK_ID7_HS746T_FM_15min	noiseParameter1_pMAPK_ID7_HS746T_FM_15min
pMAPK_ID7_HS746T_FM_1min	pMAPK_ID7_HS746T_FM_1min	pMAPK*observableParameter1_pMAPK_ID7_HS746T_FM_1min	noiseParameter1_pMAPK_ID7_HS746T_FM_1min		observableParameter1_pMAPK_ID7_HS746T_FM_1min	noiseParameter1_pMAPK_ID7_HS746T_FM_1min
pMAPK_ID7_HS746T_FM_240min	pMAPK_ID7_HS746T_FM_240min	pMAPK*observableParameter1_pMAPK_ID7_HS746T_FM_240min	noiseParameter1_pMAPK_ID7_HS746T_FM_240min		observableParameter1_pMAPK_ID7_HS746T_FM_240min	noiseParameter1_pMAPK_ID7_HS746T_FM_240min
pMAPK_ID7_HS746T_FM_3min	pMAPK_ID7_HS746T_FM_3min	pMAPK*observableParameter1_pMAPK_ID7_HS746T_FM_3min	noiseParameter1_pMAPK_ID7_HS746T_FM_3min		observableParameter1_pMAPK_ID7_HS746T_FM_3min	noiseParameter1_pMAPK_ID7_HS746T_FM_3min
pMAPK_ID8_HS746T_HM_15min	pMAPK_ID8_HS746T_HM_15min	pMAPK*observableParameter1_pMAPK_ID8_HS746T_HM_15min	noiseParameter1_pMAPK_ID8_HS746T_HM_15min		observableParameter1_pMAPK_ID8_HS746T_HM_15min	noiseParameter1_pMAPK_ID8_HS746T_HM_15min
